2024-02-18 00:43:30.336 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:438  NettyClientSelector_TMROLE_2_1 [32m                [0;39m channel inactive: [id: 0xf033c6b7, L:/192.168.188.1:54080 ! R:/192.168.188.1:8091]
2024-02-18 00:43:30.363 INFO  io.seata.core.rpc.netty.NettyClientChannelManager :133  NettyClientSelector_TMROLE_2_1 [32m                [0;39m return to pool, rm channel:[id: 0xf033c6b7, L:/192.168.188.1:54080 ! R:/192.168.188.1:8091]
2024-02-18 00:43:30.363 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :133  NettyClientSelector_TMROLE_2_1 [32m                [0;39m channel valid false,channel:[id: 0xf033c6b7, L:/192.168.188.1:54080 ! R:/192.168.188.1:8091]
2024-02-18 00:43:30.364 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :120  NettyClientSelector_TMROLE_2_1 [32m                [0;39m will destroy channel:[id: 0xf033c6b7, L:/192.168.188.1:54080 ! R:/192.168.188.1:8091]
2024-02-18 00:43:30.366 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_TMROLE_2_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xf033c6b7, L:/192.168.188.1:54080 ! R:/192.168.188.1:8091]) will closed
2024-02-18 00:43:30.367 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_TMROLE_2_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xf033c6b7, L:/192.168.188.1:54080 ! R:/192.168.188.1:8091]) will closed
2024-02-18 00:43:30.378 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:438  NettyClientSelector_RMROLE_2_1 [32m                [0;39m channel inactive: [id: 0x68416836, L:/192.168.188.1:54086 ! R:/192.168.188.1:8091]
2024-02-18 00:43:30.378 INFO  io.seata.core.rpc.netty.NettyClientChannelManager :133  NettyClientSelector_RMROLE_2_1 [32m                [0;39m return to pool, rm channel:[id: 0x68416836, L:/192.168.188.1:54086 ! R:/192.168.188.1:8091]
2024-02-18 00:43:30.379 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :133  NettyClientSelector_RMROLE_2_1 [32m                [0;39m channel valid false,channel:[id: 0x68416836, L:/192.168.188.1:54086 ! R:/192.168.188.1:8091]
2024-02-18 00:43:30.379 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :120  NettyClientSelector_RMROLE_2_1 [32m                [0;39m will destroy channel:[id: 0x68416836, L:/192.168.188.1:54086 ! R:/192.168.188.1:8091]
2024-02-18 00:43:30.379 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_RMROLE_2_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x68416836, L:/192.168.188.1:54086 ! R:/192.168.188.1:8091]) will closed
